@> 847 atoms and 1 coordinate set(s) were parsed in 0.01s.
/home/nithin/data2/nithin/codex_work/resilient_interface/Upside_Desktop/py/upside_config.py:2403: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  ref_state_cor =  np.log(cPickle.load(open(args.reference_state_rama, 'rb'), encoding='latin1'))
invocation: /home/nithin/data2/nithin/codex_work/resilient_interface/Upside_Desktop/obj/upside --duration 10000 --frame-interval 50 --temperature 0.8 --seed 1 .//outputs/trans_cis/2qke_mon.run.up
random seed: 1
.//outputs/trans_cis/2qke_mon.run.up
n_atom 324


0 0.80

Initial potential energy: 59.10
 2700 / 10000 elapsed  0 system 0.80 temp  88.5 hbonds, Rg  14.6 A, potential  -134.84
 2750 / 10000 elapsed  0 system 0.80 temp  89.8 hbonds, Rg  14.1 A, potential  -120.01
 2800 / 10000 elapsed  0 system 0.80 temp  91.0 hbonds, Rg  14.2 A, potential  -108.65
 2850 / 10000 elapsed  0 system 0.80 temp  87.9 hbonds, Rg  14.4 A, potential  -119.34
 2900 / 10000 elapsed  0 system 0.80 temp  94.1 hbonds, Rg  14.4 A, potential  -137.95
 2950 / 10000 elapsed  0 system 0.80 temp  96.5 hbonds, Rg  14.1 A, potential  -145.40
 3000 / 10000 elapsed  0 system 0.80 temp  94.9 hbonds, Rg  14.3 A, potential   -97.70
 3050 / 10000 elapsed  0 system 0.80 temp  93.4 hbonds, Rg  13.8 A, potential  -110.49
 3100 / 10000 elapsed  0 system 0.80 temp  93.9 hbonds, Rg  14.0 A, potential  -141.17
 3150 / 10000 elapsed  0 system 0.80 temp  93.9 hbonds, Rg  14.3 A, potential  -145.02
 3200 / 10000 elapsed  0 system 0.80 temp  99.2 hbonds, Rg  13.8 A, potential  -164.89
 3250 / 10000 elapsed  0 system 0.80 temp  95.5 hbonds, Rg  14.2 A, potential  -148.77
 3300 / 10000 elapsed  0 system 0.80 temp 100.1 hbonds, Rg  13.8 A, potential  -164.47
 3350 / 10000 elapsed  0 system 0.80 temp  96.5 hbonds, Rg  14.1 A, potential  -164.45
 3400 / 10000 elapsed  0 system 0.80 temp 101.1 hbonds, Rg  14.1 A, potential  -172.44
 3450 / 10000 elapsed  0 system 0.80 temp  88.2 hbonds, Rg  14.1 A, potential   -92.82
 3500 / 10000 elapsed  0 system 0.80 temp  93.6 hbonds, Rg  13.5 A, potential  -171.17
 3550 / 10000 elapsed  0 system 0.80 temp  94.7 hbonds, Rg  14.0 A, potential  -125.50
 3600 / 10000 elapsed  0 system 0.80 temp  94.5 hbonds, Rg  13.7 A, potential  -120.76
 3650 / 10000 elapsed  0 system 0.80 temp  91.1 hbonds, Rg  14.2 A, potential  -132.58
 3700 / 10000 elapsed  0 system 0.80 temp  95.7 hbonds, Rg  13.7 A, potential  -135.36
 3750 / 10000 elapsed  0 system 0.80 temp  95.9 hbonds, Rg  14.2 A, potential  -111.26
 3800 / 10000 elapsed  0 system 0.80 temp  93.9 hbonds, Rg  13.9 A, potential  -123.89
