invocation: /home/rob/github/upside2-md/obj/upside --duration 5000 --frame-interval 50 --temperature 0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999 --seed 1 --disable-recentering .//outputs/pulling_test/1qhj.run.0.up .//outputs/pulling_test/1qhj.run.1.up .//outputs/pulling_test/1qhj.run.2.up .//outputs/pulling_test/1qhj.run.3.up .//outputs/pulling_test/1qhj.run.4.up .//outputs/pulling_test/1qhj.run.5.up .//outputs/pulling_test/1qhj.run.6.up .//outputs/pulling_test/1qhj.run.7.up
random seed: 1
.//outputs/pulling_test/1qhj.run.0.up
n_atom 684

.//outputs/pulling_test/1qhj.run.1.up
n_atom 684

.//outputs/pulling_test/1qhj.run.2.up
n_atom 684

.//outputs/pulling_test/1qhj.run.3.up
n_atom 684

.//outputs/pulling_test/1qhj.run.4.up
n_atom 684

.//outputs/pulling_test/1qhj.run.5.up
n_atom 684

.//outputs/pulling_test/1qhj.run.6.up
n_atom 684

.//outputs/pulling_test/1qhj.run.7.up
n_atom 684


0 0.80
1 0.80
2 0.80
3 0.80
4 0.80
5 0.80
6 0.80
7 0.80

 300 / 5000 elapsed  1 system 0.80 temp 301.0 hbonds, Rg  18.0 A, potential  -570.81
 300 / 5000 elapsed  0 system 0.80 temp 298.6 hbonds, Rg  18.2 A, potential  -593.43
 300 / 5000 elapsed  2 system 0.80 temp 309.1 hbonds, Rg  17.9 A, potential  -578.42
 300 / 5000 elapsed  4 system 0.80 temp 297.7 hbonds, Rg  17.9 A, potential  -591.57
 300 / 5000 elapsed  3 system 0.80 temp 301.6 hbonds, Rg  17.8 A, potential  -549.53
 300 / 5000 elapsed  7 system 0.80 temp 303.8 hbonds, Rg  17.6 A, potential  -628.59
 350 / 5000 elapsed  6 system 0.80 temp 297.0 hbonds, Rg  18.2 A, potential  -611.24
 350 / 5000 elapsed  5 system 0.80 temp 302.9 hbonds, Rg  17.9 A, potential  -600.14
 350 / 5000 elapsed  0 system 0.80 temp 294.0 hbonds, Rg  18.1 A, potential  -661.23
 350 / 5000 elapsed  1 system 0.80 temp 295.9 hbonds, Rg  18.0 A, potential  -534.24
 350 / 5000 elapsed  2 system 0.80 temp 304.4 hbonds, Rg  18.0 A, potential  -614.76
 350 / 5000 elapsed  3 system 0.80 temp 301.1 hbonds, Rg  17.8 A, potential  -612.21
 350 / 5000 elapsed  4 system 0.80 temp 293.1 hbonds, Rg  18.0 A, potential  -494.23
 350 / 5000 elapsed  7 system 0.80 temp 307.0 hbonds, Rg  17.8 A, potential  -581.37
 400 / 5000 elapsed  6 system 0.80 temp 303.0 hbonds, Rg  18.3 A, potential  -622.34
 400 / 5000 elapsed  5 system 0.80 temp 307.9 hbonds, Rg  17.9 A, potential  -647.32
 400 / 5000 elapsed  0 system 0.80 temp 305.7 hbonds, Rg  18.0 A, potential  -609.77
 400 / 5000 elapsed  1 system 0.80 temp 298.9 hbonds, Rg  17.9 A, potential  -595.64
 400 / 5000 elapsed  2 system 0.80 temp 297.3 hbonds, Rg  17.9 A, potential  -541.02
 400 / 5000 elapsed  3 system 0.80 temp 302.0 hbonds, Rg  17.7 A, potential  -597.79
 400 / 5000 elapsed  4 system 0.80 temp 302.0 hbonds, Rg  18.0 A, potential  -530.18
 400 / 5000 elapsed  7 system 0.80 temp 306.7 hbonds, Rg  18.0 A, potential  -600.11
 450 / 5000 elapsed  6 system 0.80 temp 297.5 hbonds, Rg  18.6 A, potential  -566.96
 450 / 5000 elapsed  5 system 0.80 temp 309.1 hbonds, Rg  18.1 A, potential  -610.09
 450 / 5000 elapsed  0 system 0.80 temp 303.6 hbonds, Rg  18.1 A, potential  -611.11
 450 / 5000 elapsed  1 system 0.80 temp 293.5 hbonds, Rg  17.9 A, potential  -600.49
 450 / 5000 elapsed  3 system 0.80 temp 302.6 hbonds, Rg  17.9 A, potential  -589.58
 450 / 5000 elapsed  2 system 0.80 temp 299.4 hbonds, Rg  17.8 A, potential  -521.62
 450 / 5000 elapsed  4 system 0.80 temp 299.5 hbonds, Rg  18.2 A, potential  -564.62
 450 / 5000 elapsed  7 system 0.80 temp 299.8 hbonds, Rg  17.8 A, potential  -563.68
 500 / 5000 elapsed  6 system 0.80 temp 302.7 hbonds, Rg  18.6 A, potential  -594.53
 500 / 5000 elapsed  0 system 0.80 temp 313.1 hbonds, Rg  18.0 A, potential  -626.97
 500 / 5000 elapsed  5 system 0.80 temp 302.7 hbonds, Rg  17.9 A, potential  -663.36
 500 / 5000 elapsed  1 system 0.80 temp 296.9 hbonds, Rg  18.0 A, potential  -620.96
 500 / 5000 elapsed  3 system 0.80 temp 300.3 hbonds, Rg  17.7 A, potential  -553.34
 500 / 5000 elapsed  2 system 0.80 temp 298.6 hbonds, Rg  17.9 A, potential  -590.58
 500 / 5000 elapsed  4 system 0.80 temp 297.9 hbonds, Rg  17.9 A, potential  -602.66
 500 / 5000 elapsed  7 system 0.80 temp 304.4 hbonds, Rg  17.8 A, potential  -546.75
 550 / 5000 elapsed  6 system 0.80 temp 302.9 hbonds, Rg  18.5 A, potential  -616.65
 550 / 5000 elapsed  0 system 0.80 temp 297.9 hbonds, Rg  18.1 A, potential  -526.29
 550 / 5000 elapsed  1 system 0.80 temp 302.2 hbonds, Rg  18.0 A, potential  -596.36
 550 / 5000 elapsed  5 system 0.80 temp 298.7 hbonds, Rg  18.1 A, potential  -570.54
 550 / 5000 elapsed  7 system 0.80 temp 297.4 hbonds, Rg  17.9 A, potential  -592.72
 550 / 5000 elapsed  4 system 0.80 temp 308.1 hbonds, Rg  17.9 A, potential  -556.89
 550 / 5000 elapsed  3 system 0.80 temp 311.2 hbonds, Rg  17.7 A, potential  -573.17
 550 / 5000 elapsed  2 system 0.80 temp 303.7 hbonds, Rg  17.8 A, potential  -618.72
 600 / 5000 elapsed  6 system 0.80 temp 302.4 hbonds, Rg  18.6 A, potential  -578.18
 600 / 5000 elapsed  0 system 0.80 temp 296.4 hbonds, Rg  18.3 A, potential  -589.03
 600 / 5000 elapsed  1 system 0.80 temp 297.0 hbonds, Rg  17.8 A, potential  -622.07
 600 / 5000 elapsed  5 system 0.80 temp 305.8 hbonds, Rg  17.7 A, potential  -671.83
 600 / 5000 elapsed  3 system 0.80 temp 307.7 hbonds, Rg  17.8 A, potential  -588.34
 600 / 5000 elapsed  4 system 0.80 temp 300.0 hbonds, Rg  17.9 A, potential  -548.41
 600 / 5000 elapsed  7 system 0.80 temp 298.6 hbonds, Rg  17.9 A, potential  -602.09
 600 / 5000 elapsed  2 system 0.80 temp 300.7 hbonds, Rg  17.9 A, potential  -574.82
 650 / 5000 elapsed  6 system 0.80 temp 301.9 hbonds, Rg  18.5 A, potential  -572.59
 650 / 5000 elapsed  1 system 0.80 temp 297.3 hbonds, Rg  17.9 A, potential  -596.66
 650 / 5000 elapsed  5 system 0.80 temp 300.8 hbonds, Rg  17.8 A, potential  -607.78
 650 / 5000 elapsed  0 system 0.80 temp 296.4 hbonds, Rg  18.3 A, potential  -612.17
 650 / 5000 elapsed  3 system 0.80 temp 308.5 hbonds, Rg  17.9 A, potential  -641.71
 650 / 5000 elapsed  4 system 0.80 temp 298.8 hbonds, Rg  17.9 A, potential  -617.33
 650 / 5000 elapsed  7 system 0.80 temp 296.7 hbonds, Rg  18.0 A, potential  -571.71
 650 / 5000 elapsed  2 system 0.80 temp 301.2 hbonds, Rg  17.9 A, potential  -561.04
 700 / 5000 elapsed  6 system 0.80 temp 302.6 hbonds, Rg  18.5 A, potential  -642.98
 700 / 5000 elapsed  5 system 0.80 temp 307.0 hbonds, Rg  17.7 A, potential  -611.75
 700 / 5000 elapsed  1 system 0.80 temp 293.2 hbonds, Rg  17.9 A, potential  -561.16
 700 / 5000 elapsed  0 system 0.80 temp 293.4 hbonds, Rg  18.0 A, potential  -584.12
 700 / 5000 elapsed  3 system 0.80 temp 298.6 hbonds, Rg  17.8 A, potential  -582.85
 700 / 5000 elapsed  4 system 0.80 temp 299.9 hbonds, Rg  17.8 A, potential  -588.66
 700 / 5000 elapsed  7 system 0.80 temp 301.9 hbonds, Rg  17.9 A, potential  -607.45
 700 / 5000 elapsed  2 system 0.80 temp 305.4 hbonds, Rg  17.8 A, potential  -630.31
 750 / 5000 elapsed  6 system 0.80 temp 298.5 hbonds, Rg  18.7 A, potential  -586.55
 750 / 5000 elapsed  1 system 0.80 temp 306.0 hbonds, Rg  18.0 A, potential  -537.34
