invocation: /home/rob/github/upside2-md/obj/upside --duration 5000 --frame-interval 50 --temperature 0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999 --seed 1 --disable-z-recentering .//outputs/memb_test/1qhj.run.0.up .//outputs/memb_test/1qhj.run.1.up .//outputs/memb_test/1qhj.run.2.up .//outputs/memb_test/1qhj.run.3.up .//outputs/memb_test/1qhj.run.4.up .//outputs/memb_test/1qhj.run.5.up .//outputs/memb_test/1qhj.run.6.up .//outputs/memb_test/1qhj.run.7.up
random seed: 1
.//outputs/memb_test/1qhj.run.0.up
n_atom 684

.//outputs/memb_test/1qhj.run.1.up
n_atom 684

.//outputs/memb_test/1qhj.run.2.up
n_atom 684

.//outputs/memb_test/1qhj.run.3.up
n_atom 684

.//outputs/memb_test/1qhj.run.4.up
n_atom 684

.//outputs/memb_test/1qhj.run.5.up
n_atom 684

.//outputs/memb_test/1qhj.run.6.up
n_atom 684

.//outputs/memb_test/1qhj.run.7.up
n_atom 684


0 0.80
1 0.80
2 0.80
3 0.80
4 0.80
5 0.80
6 0.80
7 0.80

 300 / 5000 elapsed  5 system 0.80 temp 302.1 hbonds, Rg  17.9 A, potential  -563.61
 300 / 5000 elapsed  0 system 0.80 temp 304.4 hbonds, Rg  18.2 A, potential  -555.74
 300 / 5000 elapsed  3 system 0.80 temp 304.7 hbonds, Rg  17.7 A, potential  -583.98
 300 / 5000 elapsed  2 system 0.80 temp 296.2 hbonds, Rg  17.8 A, potential  -586.32
 300 / 5000 elapsed  4 system 0.80 temp 298.1 hbonds, Rg  17.8 A, potential  -566.45
 300 / 5000 elapsed  7 system 0.80 temp 293.0 hbonds, Rg  17.9 A, potential  -570.01
 350 / 5000 elapsed  6 system 0.80 temp 301.3 hbonds, Rg  18.7 A, potential  -616.94
 350 / 5000 elapsed  1 system 0.80 temp 297.3 hbonds, Rg  18.1 A, potential  -583.96
 350 / 5000 elapsed  3 system 0.80 temp 301.3 hbonds, Rg  17.7 A, potential  -580.17
 350 / 5000 elapsed  0 system 0.80 temp 312.1 hbonds, Rg  18.0 A, potential  -541.21
 350 / 5000 elapsed  5 system 0.80 temp 300.8 hbonds, Rg  17.9 A, potential  -545.68
 350 / 5000 elapsed  7 system 0.80 temp 298.6 hbonds, Rg  18.0 A, potential  -602.48
 350 / 5000 elapsed  2 system 0.80 temp 292.1 hbonds, Rg  18.0 A, potential  -602.68
 350 / 5000 elapsed  4 system 0.80 temp 301.2 hbonds, Rg  17.6 A, potential  -593.09
